674067009383067648<||>Tue Dec 08 03:24:33 +0000 2015<||>RT Rajalak71746048: iCanSaveLife please help #verified #chennai  friend's brother https://t.co/mIflSBOh1A
674067310949228544<||>Tue Dec 08 03:25:45 +0000 2015<||>When my 5 year old kid wants to send food to Chennai people, then u r sure that country is in good hands of future generations @tinucherian
674067381598027776<||>Tue Dec 08 03:26:01 +0000 2015<||>The big city clean-up: volunteers in demand #HINDU https://t.co/f6r78K0KHE
674067425164288001<||>Tue Dec 08 03:26:12 +0000 2015<||>@arya_offl Correctly said bro. Hav to verify one or two times before tweetin abt help needed for chennai
674067473419788288<||>Tue Dec 08 03:26:23 +0000 2015<||>Spl Passport Mela on Dec 12th.. Chennai RPO @ Rayala Towers, Anna Salai/3 PSKs.. Damaged - Fresh on the spot.. Lost needs a Police Complaint
674067664109568000<||>Tue Dec 08 03:27:09 +0000 2015<||>Volunteers Collect &amp; Distribute 500 tons of Relief material in #ChennaiFloodRelief: https://t.co/46jfqcjIn5 https://t.co/JZXS2tht1Y
674067882628648961<||>Tue Dec 08 03:28:01 +0000 2015<||>Partial relief in this part of city #HINDU https://t.co/jxkwk7n4KT
674068118935736320<||>Tue Dec 08 03:28:57 +0000 2015<||>#Chennai #Urgent Need 2 A1-ve #blood units @ Billroth Hosp, Shenoy Nagar. Call 9886869666 #Rakt via @Rajalak71746048 cc @CBDonors @sang1983
674068245268193280<||>Tue Dec 08 03:29:27 +0000 2015<||>@Riteishd on ur bday, we fans wanna help chennai ppl..   @geneliad @PriyaAnand @Samanthaprabhu2 busy wth something imp #ChennaiFloods ..
674068324704116737<||>Tue Dec 08 03:29:46 +0000 2015<||>Man who won 2014 with the biggest mandate ever calls SM volunteers to meet him and man who lost deposit in 2014 wave mocks SM volunteers LOL
674068374708576257<||>Tue Dec 08 03:29:58 +0000 2015<||>@ReportAbuseTwee @IBollybubble @RamraoKP_ @iamsrk ya don't care if he donates v chennai pple know to help each other, best luck 4 u n srk
674068545781698560<||>Tue Dec 08 03:30:39 +0000 2015<||>@Actor_Siddharth @ActorMadhavan  pls help ppl in Manalipudhur area, all waiting on relief without food etc #ChennaiHelp #Chennai
674069242400997376<||>Tue Dec 08 03:33:25 +0000 2015<||>Sex workers from Maharashtra donated 1 Lakh to Chennai rain relief fund! ! God bless them all.  #Respect #chennairain
674069402547937280<||>Tue Dec 08 03:34:03 +0000 2015<||>@TOIIndiaNews Congress have now worked out a way to blame BJP/Modi for the Chennai disaster- Rahul rushes to milk human suffering again
674069467941367808<||>Tue Dec 08 03:34:19 +0000 2015<||>LIST OF RUMOURS  PLS SHARE  Just to clear some existing rumor in chennai rain relief scenario.  1. No crocodiles... https://t.co/tQwYZELQCH
674069647218487296<||>Tue Dec 08 03:35:02 +0000 2015<||>Ministers need tiny url help so that they don't waste time in getting complete list of salutations for CM #Chennai #ChennaiFloods
674069758883442689<||>Tue Dec 08 03:35:28 +0000 2015<||>Along with water, Rumors need to be cleaned now.  #ChennaiFloods #Chennai
674069895294750720<||>Tue Dec 08 03:36:01 +0000 2015<||>Water recedes, garbage piles up #HINDU https://t.co/deYKRJ6DRb
674069931311423489<||>Tue Dec 08 03:36:09 +0000 2015<||>Flood relief material distributed at chennai by DHVANI Members.
674070431616376832<||>Tue Dec 08 03:38:09 +0000 2015<||>Not enough for TN Govt to do rescue, relief, shd be forced to pay for losses suffered by millions, argues this piece https://t.co/f1SsTdzuTC
674070520879448064<||>Tue Dec 08 03:38:30 +0000 2015<||>Our offices are all still on #ChennaiFloodRelief mode. Need your help https://t.co/RXlXP1UjLW
674070560997924865<||>Tue Dec 08 03:38:40 +0000 2015<||>How Is Flood-Hit Chennai Coping | https://t.co/bPt5t7Z9QJ #ChennaiFloods #ChennaiRelief @IndianExpress
674070580912480256<||>Tue Dec 08 03:38:44 +0000 2015<||>@hasinimani mam,Do you have any relief materials that needs to be picked up from Hyderabad? We will distribute in Chennai through @BhumiOrg
674070667159986176<||>Tue Dec 08 03:39:05 +0000 2015<||>Unloading pumps, donated by @KBLPumps,&amp; handing over to #Chennai Corporation, to remove water from waterlogged areas https://t.co/ryo1Yb9O1s
674070726110941185<||>Tue Dec 08 03:39:19 +0000 2015<||>LIST OF RUMOURS PLS SHARE Just to clear some existing rumor in chennai rain relief scenario.
